sku,product_name,realized_qty,order_lines
PE-FOAM-1-MM,PE Foam 1mm Meteran untuk Packing Kostum Karnaval Sayap Bidadari Dekorasi Kerajinan 17 Agustus | Sheet Putih Busa Lembaran | Gerabahku Jogja,91,9
SETT-TUDUNG-SAJI-FLAT,Tudung Saji Bambu Bulat Alas Flat Natural - Tempat Hampers & Penutup Makanan,87,84
5IN1-CANGKIR-MUG-TATAKAN-9CM+KAYU,Gerabahku | Set 5 pcs Gelas Mug Cangkir + Tatakan Lepek + Tutup Tanah Liat Gerabah - Kapasitas 300 ml - Diameter 9 cm - Untuk Kopi Teh Poci,36,31
TATAKAN+TAMPLEK,Gerabahku | Tatakan Cobek Kayu Talenan Alas Sambal Gami Handle Pegangan M 28x15x1.4 cm,15,4
PANCI-20CM-2.5L+KAYU,"Panci Tanah Liat 20cm 2L – Kendil Rebus Masakan Tradisional untuk Jamu, Sop, Lodeh & Gudeg | Masakan Lebih Nikmat Anti Logam | Gerabahku Jogja",12,12
108K-KENDIL-BUBUR-21CM-6PC+KAYU,Gerabahku Jogja | Paket Usaha Kendil Bubur Tanah Liat 21 cm Isi 6 Pcs – Panci Masak & Saji 3.5 Liter Gerabah Bayat,12,11
GRB-TUTUP-WAJAN-DIAMETER-18CM,"Gerabahku  Jogja | Tutup Wajan Tanah Liat Gerabah Diameter 18 cm - Untuk Wajan Diameter 20 cm | - Serbaguna untuk Tutup Wajan, Panci, dan Masak Kue Lapis",11,9
KENDIL-BUBUR-20CM+KAYU,Gerabahku  Jogja | Kendil Bubur Gerabah Kendil Bubur Ayam Tanah Liat Diameter 20 cm - 2 Liter,11,6
CETING-TANAH-18CM+KAYU,Tempat Nasi Gerabah Tanah Liat Ceting | Wakul Bakul Tradisional Food Grade Cething Diameter 18 & 21 cm | 3-5 Porsi,10,10
CETING-TANAH-21CM+KAYU,Tempat Nasi Gerabah Tanah Liat Ceting | Wakul Bakul Tradisional Food Grade Cething Diameter 18 & 21 cm | 3-5 Porsi,10,10
30cmx200m,Stretch Film 17 Micron Plastik Wrapping Pallet Packing Gudang Barang Aman & Tahan Sobek,10,5
SET-ANGLO-KOPI-KAYU,Gerabahku Jogja |  Set Tungku Anglo Kopi Arang Bakar Angkringan Jadul Tanah Liat Gerabah Tatakan Anglo Teh Cangkir Gelas Kecil Mini Khas Medan,9,8
KENDIL-BUBUR-20CM,Gerabahku  Jogja | Kendil Bubur Gerabah Kendil Bubur Ayam Tanah Liat Diameter 20 cm - 2 Liter,9,7
PIRING-SEGI-PANJANG-KAYU,Gerabahku | Piring Saji Kotak Persegi Panjang 29x23x7 cm Tanah Liat Gerabah Tempat Saji Prasmanan Wadah Saji Makanan,9,4
TEKO-TANAH-POCI-PACKING-KAYU,Teko Teh Poci Tanah Liat Klaten 700 ml - Gerabah Tradisional Aroma Teh Lebih Nikmat,8,8
5IN1-CANGKIR-MUG-TATAKAN-9CM,Gerabahku | Set 5 pcs Gelas Mug Cangkir + Tatakan Lepek + Tutup Tanah Liat Gerabah - Kapasitas 300 ml - Diameter 9 cm - Untuk Kopi Teh Poci,8,7
SET-ANGLO-KOPI-KAYU,Set Tungku Anglo Kopi Arang Tanah Liat Khas Medan + Tatakan Gerabah Angkringan Jadul Mini,8,6
LUMPANG-ALU-BATU-20CM,"Lumpang batu asli Muntilan dari batu lereng Merapi Diameter 20cm — awet, berat, natural, bukan semen cetakan",7,7
SET-ANGLO-KOPI,Gerabahku Jogja |  Set Tungku Anglo Kopi Arang Bakar Angkringan Jadul Tanah Liat Gerabah Tatakan Anglo Teh Cangkir Gelas Kecil Mini Khas Medan,7,6
SET-PORONG-TINGGI-2GELAS-KAYU,Gerabahku | Set Paket Porong Jus + Gelas Tanah Liat Teko Teapot Poci Gerabah Tradisional Tempat Minum Air,6,6
50cmx200m,Stretch Film 17 Micron Plastik Wrapping Pallet Packing Gudang Barang Aman & Tahan Sobek,6,5
TEKO-TANAH-POCI-STANDAR,Teko Teh Poci Tanah Liat Klaten 700 ml - Gerabah Tradisional Aroma Teh Lebih Nikmat,6,4
18K-KENDIL-BUBUR-21CM+KAYU,Gerabahku Jogja | Kendil Bubur Tanah Liat 21 cm 3.5 Liter Gerabah – Panci Kendil Masak & Saji Tradisional dengan Tutup,5,5
PIRING-SEGI-PANJANG-STANDAR,Gerabahku | Piring Saji Kotak Persegi Panjang 29x23x7 cm Tanah Liat Gerabah Tempat Saji Prasmanan Wadah Saji Makanan,5,5
TEFLON-20CM-TANPA-TUTUP+KAYU,[Tanpa Tutup] Teflon Gerabah Tanah Liat Asli – Panci Sapo Seblak Bakar / Bubur Bakar – 14cm 16cm 18cm | Gerabahku Jogja,5,5
BASKOM-TANAH-31CM-KAYU,Gerabahku | Baskom Tanah Liat Gerabah + Tutup Diameter 31 cm Untuk Tempat Sayur Saji Wadah Makanan Prasmanan,5,4
TRI2.5__CELENGAN-KENDI-13+KAYU,Celengan Tanah Liat Gerabah Tradisional - Celengan Kendi Klasik Gerabah Anak 12cm 13cm,5,4
BOX-TISU-BAMBU-KOTAK-11CM,Tempat Tisu Bambu Anyam Kotak 11x11 cm – Handmade Tradisional Kotak Tisu Natural Rustic | Gerabahku Jogja,5,3
WAJAN-20CM+KEREN-18CM+KAYU,Gerabahku  Jogja | Set Wajan Tanah Liat  Diameter 20 cm + Keren / Anglo 18 cm | Wajan Serabi Tanah Liat Tempat Saji Prasmanan,5,3
,Panci Claypot Tanah Liat 16–20 CM dengan Tutup Panci Sapo Nabe Hotplate Masak | Gerabahku Jogja,3,3
CETING-TANAH-18CM,Tempat Nasi Gerabah Tanah Liat Ceting | Wakul Bakul Tradisional Food Grade Cething Diameter 18 & 21 cm | 3-5 Porsi,3,3
LESUNG-LUMPANG-ALU-13CM,Lumpang Alu Batu Asli Mortar Pastle Lesung Alat Penumbuk Obat Herbal Ukuran 13 cm Volume 250 ml - Ulekan Batu Tradisional Aesthetik Modern Gerusan Obat | Gerabahku,3,3
PANCI-20CM-2.5L,"Panci Tanah Liat 20cm 2L – Kendil Rebus Masakan Tradisional untuk Jamu, Sop, Lodeh & Gudeg | Masakan Lebih Nikmat Anti Logam | Gerabahku Jogja",3,3
PIRING-LEKUK-SET-SML,Gerabahku Jogja | Piring Gerabah Tanah Liat Diameter 25 31 35 cm – Piring Saji Lekuk Tradisional Varian S M L & Paket Set,3,3
POT-BONSAI-SET-3PC+KAYU,Gerabahku Jogja | Pot Gerabah Model Klasik untuk Bonsai – Handmade Elegan & Kokoh,3,3
TEMPAT-SENDOK-TANAH-D14-KAYU,"Gerabahku Jogja | Tempat Sendok Garpu Tanah Liat Gerabah Ukir 14 cm – Multifungsi Estetik Rumah & Dapur - Tempat Sumpit, Sedotan, Alat Makan Estetik",3,3
15cmx200m,Stretch Film 17 Micron Plastik Wrapping Pallet Packing Gudang Barang Aman & Tahan Sobek,3,2
PIRING-GEBANG,Gerabahku Jogja | Piring Gebang Anyaman Alami Ringan 24cm Sajian Jajanan & Snack Tradisional | Lidi Gebang,3,2
20cmx200m,Stretch Film 17 Micron Plastik Wrapping Pallet Packing Gudang Barang Aman & Tahan Sobek,3,1
ANGLO-23CM,Anglo Tanah Liat Diameter 23 cm Tungku Arang Gerabah Tatakan Prasmanan Penghangat Makanan,2,2
ANGLO-23CM+KAYU,Anglo Tanah Liat Diameter 23 cm Tungku Arang Gerabah Tatakan Prasmanan Penghangat Makanan,2,2
KENDIL-DAWET-D35-KAYU,Gerabahku | Gentong Kendil Es Dawet Cendol Tanah Liat Gerabah  Wadah Tempat Air Genthong Beras - 17 Liter Diameter 35 cm,2,2
KSG50__BOCAH-PIPIS-UKURAN-M-53CM+KAYU,Patung Bocah Pipis Gerabah Air Mancur Taman Kolam Ikan Hias Tanah Liat Terracotta Pancuran Dekorasi Outdoor | Anak Kencing Dekorasi Kolam,2,2
LODONG-16CM-KAYU,Gerabahku Jogja | Lodong / Toples Tanah Liat 3 Liter  Rodong Penyimpanan Rempah & Kopi - Wadah Santan Dawet,2,2
SET-PORONG-TINGGI-2GELAS-STANDAR,Gerabahku | Set Paket Porong Jus + Gelas Tanah Liat Teko Teapot Poci Gerabah Tradisional Tempat Minum Air,2,2
TENGGOK-48CM,"Gerabahku | Tenggok Bambu Tradisional Diameter 48 cm | Wadah Beras, Buah, Tempat Jamu Gendong Rinjing Anyaman Bambu Penyimpanan Bahan Makanan Serbaguna",2,2
10cmx200m,Stretch Film 17 Micron Plastik Wrapping Pallet Packing Gudang Barang Aman & Tahan Sobek,1,1
COBEK-DATAR-24CM+KAYU,"Cobek Datar Gerabah Tanah Liat Serbaguna | Tatakan Teh Poci, Tempat Sajian, Piring Datar, Media Telur Ikan Louhan | Gerabahku Jogja",1,1
COBEK-TN-6CM-10PCS,Cobek Mini 6cm Tanah Liat Asli - Cowek Sambal Kecil Gerabah (Paket isi 5 10 20 50 pcs Grosir Warung Resto),1,1
KSG20__CELENGAN-AYAM-41CM+KAYU,Celengan Ayam Jago Jumbo 41cm Gerabah Tanah Liat Kerajinan Hias Tradisional Jogja,1,1
PANCI-28CM+ANGLO-26CM+KAYU,Gerabahku Jogja | Set Gerabah Masak & Saji – Anglo Keren 26cm + Kendil Panci 28cm Kapasitas 7 Liter - Tempat Saji Etnik Tradisional untuk Prasmanan & Jamuan,1,1
PIRING-LEKUK-D35,Gerabahku | Piring Saji Bulat Lekuk D35 Diameter 35 cm Tanah Liat Gerabah Tempat Saji Prasmanan Wadah Saji Makanan,1,1
PIRING-LEKUK-SET-SML+KAYU,Gerabahku Jogja | Piring Gerabah Tanah Liat Diameter 25 31 35 cm – Piring Saji Lekuk Tradisional Varian S M L & Paket Set,1,1
PIRING-TANAH-LIAT-IKAN-34CM-STANDAR,Gerabahku Jogja | Fish Plate Piring Ikan Tanah Liat Gerabah – Wadah Saji Lauk Ikan Tradisional,1,1
POT-BUNGA-TERAKOTA-L-10CM,Gerabahku Jogja | Pot Bunga Tanah Liat Tradisional | Pot Tanaman Gerabah Terakota | Ukuran S M L | Ada Lubang Bawah,1,1
SET-ANGLO-KOPI,Set Tungku Anglo Kopi Arang Tanah Liat Khas Medan + Tatakan Gerabah Angkringan Jadul Mini,1,1
TEFLON-18CM-TANPA-TUTUP+KAYU,[Tanpa Tutup] Teflon Gerabah Tanah Liat Asli – Panci Sapo Seblak Bakar / Bubur Bakar – 14cm 16cm 18cm | Gerabahku Jogja,1,1
TEFLON-20CM-TANPA-TUTUP,[Tanpa Tutup] Teflon Gerabah Tanah Liat Asli – Panci Sapo Seblak Bakar / Bubur Bakar – 14cm 16cm 18cm | Gerabahku Jogja,1,1
TEFLON-22CM-TANPA-TUTUP+KAYU,[Tanpa Tutup] Teflon Gerabah Tanah Liat Asli – Panci Sapo Seblak Bakar / Bubur Bakar – 14cm 16cm 18cm | Gerabahku Jogja,1,1
WAJAN-20CM+ANGLO-18CM+KAYU,Gerabahku  Jogja | Set Wajan Tanah Liat  Diameter 20 cm + Keren / Anglo 18 cm | Wajan Serabi Tanah Liat Tempat Saji Prasmanan,1,1
